AGE,GENDER,DOMAIN,PhD,YEARSEXP,UNIVERSITY,UOC_POSITION,OTHER_POSITION,OTHERSTATUS,USERWIKI,PU1-DEV_STUD_SKILL,PU2-IMPRV_STUD_LEARN,PU3-USEFUL_FOR_TEACH,PEU1-USER_FRIENDLY,PEU2-EZ_FIND_INFO,PEU3-EZ_EDIT_INFO,ENJ1-STIMULATE_CERIOSITY,ENJ2-ENTERTAINING,Qu1-CONTENT_RELIABLE,Qu2-CONTENT_UPDATED,Qu3-CONTENT_COMPRESV,Qu4-CONTENT_LOWER_QUALITY,Qu5-CONTENT_EDIT_TRUST,Vis1-VIZ_IMPROV,Vis2-EZ_RECORD_CONTRIB,Vis3-USED_CITE_PAPER,Im1-POPULAR_COLLEAGUES,Im2-APPREC_EDU_SHARE,Im3-COLLEAGUES_USING,SA1-IMPT_SHARE_ACADEMIC,SA2-IMPT_SHARE_RESEARCH,SA3-IMPT_STUD_ONLINE_COL,Use1-USED_TO_TEACH_MTRIAL,Use2-USED_TO_DEV_ACTIV,Use3-REC_STUD_USE,Use4-REC_COLL_USE,Use5-AGGREE_STUD_USE,Pf1-CONTRIB_BLOG,Pf2-CONTRIB_SOCIAL_NET,Pf3-PUBLISH_ACAD_OPEN_PLAT,JR1-UNIV_PROMOTE_OPEN_COLLAB,JR2-UNIV_CONSIDER_OPEN_COLLAB,BI1-FUTURE_REC_USE_COLL_STUD,BI2-FUTURE_USE_TEACH,Inc1-HELPFUL_BEST_PRAC,Inc2-HELPFUL_GET_INST_COLL,Inc3-HELPFUL_GET_TRAIN,Inc4-HELPFUL_INSTITUTION_RECGN,Exp1-CONSULT_EXPERTISE,Exp2-CONSULT_ACAD_ISSUES,Exp3-CONSULT_PERSONAL_ISSUES,Exp4-CONTRIB_WIKI,Exp5-USING_WORK_WITH_STUD
40-45,Male,Sciences,Yes,10-15,UOC,Associate,,,No,4,4,3,5,5,3,4,4,3,3,2,2,3,3,3,1,2,4,2,4,4,4,3,1,1,2,4,1,1,3,4,1,2,3,5,5,5,5,4,4,4,1,2
40-45,Male,Law&Politics,Yes,15-20,UOC,Associate,,,No,2,3,3,4,4,3,3,4,4,4,3,3,2,3,3,1,1,2,1,4,4,4,2,2,1,1,2,1,1,1,4,3,2,2,4,4,3,4,2,2,4,2,4
35-40,Male,Engineering&Architecture,Yes,10-15,UOC,Assistant,,,No,2,2,2,4,4,3,3,3,2,2,2,5,3,2,3,2,2,4,3,4,2,4,1,1,1,1,1,3,3,3,4,3,1,1,5,3,5,5,2,2,2,1,3
40-45,Male,Engineering&Architecture,No,10-15,UOC,Assistant,,,No,3,3,4,3,3,3,4,3,3,4,3,3,3,3,4,3,2,2,3,5,5,5,3,3,3,3,3,4,4,4,5,4,3,3,3,4,4,3,4,4,3,3,4
50-55,Male,Social Science,No,05-10,UOC,Assistant,,,Yes,4,3,5,5,4,3,4,4,4,5,4,3,4,4,4,4,3,2,3,5,5,5,3,3,5,5,5,5,5,5,3,3,5,5,5,5,4,4,5,5,5,4,4
45-50,Male,Engineering&Architecture,No,15-20,UOC,Assistant,,,No,2,2,3,5,4,3,3,3,3,3,3,4,4,3,4,4,3,5,3,5,5,5,2,1,3,2,4,4,3,2,4,1,4,4,5,3,2,4,4,3,4,1,4
40-45,Male,Engineering&Architecture,No,10-15,UOC,Assistant,,,No,4,4,4,5,,5,5,5,4,4,4,2,4,4,4,4,3,5,3,5,5,5,3,4,4,3,5,4,3,3,5,4,3,4,4,4,4,1,4,5,5,2,2
55-60,Male,Social Science,No,10-15,UOC,Assistant,,,No,4,4,5,4,3,4,4,3,3,3,3,3,4,3,3,4,4,5,4,5,5,5,1,2,3,3,4,4,3,4,4,4,3,4,3,3,3,3,4,4,3,1,4
50-55,Male,Arts&Humanities,Yes,10-15,UOC,Associate,,,No,4,4,5,4,5,4,5,5,4,4,2,5,3,4,3,4,3,3,3,5,5,4,1,1,4,4,5,1,2,3,3,2,4,3,5,5,4,2,5,5,5,1,1
50-55,Male,Engineering&Architecture,Yes,25-30,UOC,Associate,,,No,4,4,4,5,5,,5,4,4,4,4,2,3,3,,3,3,5,3,4,5,5,4,1,5,4,5,2,2,4,4,4,5,5,5,5,5,5,4,5,2,1,1
40-45,Male,Engineering&Architecture,Yes,10-15,UOC,Associate,,,Yes,3,3,4,5,4,4,5,4,3,4,3,3,2,3,4,2,2,4,3,5,4,5,2,3,4,3,4,1,2,4,4,3,3,4,3,3,2,4,4,4,4,1,2
45-50,Male,Social Science,No,25-30,UOC,Assistant,,,No,5,4,3,5,5,3,5,5,3,5,4,2,3,4,3,1,1,1,3,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,5,4,4,5,1,1
35-40,Male,Social Science,Yes,15-20,UOC,Associate,,,No,4,5,5,5,4,3,4,4,4,4,2,2,4,3,4,4,3,4,3,4,2,4,5,5,4,4,4,3,5,5,4,2,4,4,4,5,5,5,4,4,5,1,3
55-60,Male,Social Science,Yes,10-15,UOC,Assistant,,,Yes,1,1,1,2,1,3,2,2,2,2,,4,2,2,3,1,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,3,1,1,1,2,1
40-45,Male,Engineering&Architecture,Yes,15-20,UOC,Associate,,,Yes,4,4,4,3,4,4,5,5,4,5,4,2,4,4,3,4,3,3,3,5,5,4,3,2,4,4,4,4,5,5,4,3,5,5,4,4,4,4,4,4,5,4,4
35-40,Male,Social Science,Yes,10-15,UOC,Associate,,,No,3,3,3,5,4,,3,4,3,4,2,4,3,2,3,1,4,5,4,5,5,5,1,1,2,2,3,2,3,3,4,3,1,1,4,5,2,1,2,2,2,1,1
40-45,Male,Engineering&Architecture,Yes,15-20,UOC,Associate,,,Yes,4,4,5,5,4,4,4,5,4,4,5,2,4,4,4,2,3,5,5,5,4,4,1,1,4,4,5,4,5,5,4,3,4,4,4,3,3,4,5,4,5,1,5
50-55,Male,Social Science,Yes,20-25,UOC,Associate,,,No,4,4,4,5,4,4,5,5,4,4,4,3,3,3,3,2,3,3,2,4,5,4,2,2,2,2,4,5,5,3,4,3,3,3,4,4,4,4,4,5,5,2,4
35-40,Male,Engineering&Architecture,No,10-15,UOC,Lecturer,,,Yes,5,4,4,4,4,4,5,4,4,4,4,2,5,4,4,3,3,4,3,5,5,5,3,2,4,4,4,5,5,4,3,2,4,4,5,5,4,5,4,5,5,3,3
30-35,Male,Social Science,Yes,05-10,UOC,Associate,,,No,2,2,5,5,5,3,4,4,4,5,4,4,4,3,3,1,2,2,2,5,5,3,1,1,1,1,4,3,3,3,3,3,3,3,2,4,2,3,2,4,4,1,2
35-40,Male,Social Science,Yes,10-15,UOC,Assistant,,,No,4,2,5,5,5,,5,5,5,5,5,4,4,2,4,5,4,4,4,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,4,4,2,5,5,5,1,5
45-50,Male,Social Science,Yes,15-20,UOC,Associate,,,No,2,2,3,4,4,3,3,4,4,4,3,2,2,2,2,1,2,3,2,3,2,2,1,1,1,1,4,1,1,1,4,3,2,2,3,4,3,2,3,3,2,1,2
35-40,Male,Arts&Humanities,No,10-15,UOC,Lecturer,,,No,3,2,3,5,4,3,4,4,4,3,2,4,4,4,3,1,2,2,3,4,4,4,2,1,1,1,4,1,2,1,5,4,3,3,5,4,4,3,3,4,4,1,3
35-40,Male,HealthSciences,Yes,15-20,UOC,Associate,,,Yes,4,4,4,5,5,5,5,5,4,4,3,3,3,4,3,3,2,3,3,4,3,4,4,4,4,3,4,2,3,4,5,5,4,4,5,4,5,4,2,4,4,4,2
35-40,Male,Law&Politics,Yes,10-15,UOC,Associate,,,Yes,3,2,3,4,4,4,4,4,3,5,3,4,3,2,2,2,2,2,2,4,2,4,2,1,2,3,3,3,1,2,5,4,3,3,5,5,3,2,3,4,4,2,2
40-45,Male,Social Science,No,05-10,UOC,Lecturer,,,No,5,5,5,4,4,3,4,4,3,3,3,3,4,4,4,3,4,4,4,5,5,5,3,4,3,3,4,3,4,4,5,4,4,4,5,4,4,4,4,5,2,4,4
30-35,Male,Law&Politics,Yes,05-10,UOC,Associate,,,No,2,3,2,5,5,,5,5,4,5,3,4,3,,,2,2,3,2,3,4,4,2,2,2,2,2,2,3,3,5,3,3,3,4,3,4,3,2,3,5,1,1
35-40,Male,Arts&Humanities,Yes,05-10,UOC,Assistant,,,No,3,3,4,4,4,3,4,3,3,3,3,3,3,4,3,1,4,4,3,5,5,5,2,1,3,1,4,1,1,1,4,2,3,4,5,5,4,4,3,3,4,2,1
35-40,Male,Social Science,No,10-15,UOC,Assistant,,,No,4,3,4,4,3,4,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,3,3,4,3,4,3,4,4,4,4,3,3,3,4,4,3,4,3,3,4,3,3
35-40,Male,Engineering&Architecture,Yes,10-15,UOC,Assistant,,,No,2,3,3,4,4,4,5,5,2,4,2,3,3,2,2,1,2,2,2,2,3,3,2,1,2,2,2,3,3,4,2,2,3,2,4,4,4,4,4,5,5,1,4
35-40,Male,Social Science,Yes,15-20,UOC,Associate,,,No,3,3,3,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,2,1,3,2,3,3,2,2,3,3,3,3,2,2,3,1,3
40-45,Male,Arts&Humanities,Yes,10-15,UOC,Associate,,,Yes,4,4,4,5,5,3,4,4,4,4,4,2,5,5,5,5,2,1,3,5,5,5,5,4,5,5,5,3,2,5,5,2,5,5,3,3,4,5,5,5,5,2,2
40-45,Male,Social Science,Yes,10-15,UOC,Assistant,,,No,4,4,5,3,3,3,3,3,4,4,3,3,4,3,4,4,3,4,2,5,5,5,2,1,3,4,4,4,4,4,5,2,4,4,4,3,3,3,5,5,5,2,4
35-40,Male,Engineering&Architecture,Yes,10-15,UOC,Associate,,,Yes,4,4,4,5,4,3,4,4,4,4,3,3,4,4,3,4,3,4,3,5,4,5,3,3,4,4,4,4,3,3,5,3,4,5,4,4,3,3,4,4,4,3,4
50-55,Male,Social Science,No,,UOC,Assistant,,,No,4,4,4,4,4,4,4,4,3,4,3,2,3,2,3,3,2,3,4,5,4,5,2,1,4,4,4,2,3,4,4,4,4,4,4,4,3,3,3,3,3,1,5
45-50,Male,Social Science,Yes,10-15,UOC,Associate,,,No,3,3,4,5,4,5,4,4,4,3,4,,4,4,4,2,4,3,4,5,5,5,2,2,3,3,4,4,4,3,5,4,4,4,5,4,4,4,4,4,4,1,2
40-45,Male,Social Science,No,05-10,UOC,Lecturer,,,No,2,2,2,4,2,2,2,2,2,2,2,4,2,2,2,1,2,2,2,3,2,4,1,1,2,2,2,2,2,1,3,3,2,2,3,3,2,2,2,2,2,1,2
35-40,Male,Arts&Humanities,Yes,10-15,UOC,Associate,,,No,3,2,3,5,4,3,4,4,3,4,3,5,2,3,3,1,3,3,3,4,5,3,2,1,3,3,3,4,3,3,4,4,3,3,4,4,4,2,2,3,4,1,3
40-45,Male,Social Science,Yes,10-15,UOC,Associate,,,No,3,4,5,4,3,3,4,3,3,4,3,4,3,3,3,2,2,3,3,5,5,5,2,2,4,4,4,3,4,3,4,4,4,4,5,4,4,4,4,5,5,1,2
35-40,Male,Social Science,Yes,05-10,UOC,Instructor,,,#N/A,2,2,2,5,4,,4,4,3,4,4,3,2,2,,1,1,1,,4,3,4,2,1,2,,1,5,2,,5,4,1,1,4,4,4,,4,4,4,1,4
35-40,Male,Arts&Humanities,Yes,05-10,UOC,Associate,,,No,3,2,3,4,3,3,4,3,2,2,2,4,1,3,3,1,2,3,3,3,4,3,1,1,2,2,2,3,2,3,3,3,2,2,3,3,3,3,2,2,4,1,2
45-50,Male,Social Science,Yes,15-20,UOC,Assistant,,,No,3,3,3,4,4,3,4,4,3,4,2,5,2,3,3,1,2,4,2,4,5,5,2,3,2,1,4,2,3,2,4,5,3,2,4,3,4,4,2,2,4,1,3
35-40,Male,Law&Politics,Yes,10-15,UOC,Associate,,,No,3,3,3,4,,2,3,5,2,2,1,5,1,2,1,1,1,5,2,5,5,5,1,1,1,1,1,1,1,1,5,5,1,2,5,1,1,5,1,1,2,1,2
35-40,Male,Arts&Humanities,Yes,10-15,UOC,Associate,,,No,3,3,4,4,4,,4,3,4,4,4,2,4,,,3,2,2,3,4,4,4,4,4,4,4,4,2,2,2,4,2,4,4,4,2,2,4,4,4,2,1,
35-40,Male,Engineering&Architecture,Yes,05-10,UOC,Associate,,,No,4,4,4,3,4,3,4,4,2,3,3,3,3,2,3,2,3,4,2,5,2,4,2,3,3,3,3,4,4,4,4,1,3,3,4,3,3,3,4,3,4,3,3
30-35,Male,Social Science,Yes,05-10,UOC,Associate,,,No,3,3,3,4,4,3,3,4,4,4,3,3,4,3,3,1,3,3,3,4,4,4,1,1,2,2,3,1,3,2,4,3,3,3,4,3,3,3,2,2,3,1,3
30-35,Male,Social Science,No,05-10,UOC,Lecturer,,,No,5,4,5,4,5,3,4,3,4,5,5,4,,3,3,1,3,5,3,5,5,4,1,1,1,1,3,1,1,3,5,3,3,3,2,2,1,2,2,2,4,1,2
30-35,Male,Engineering&Architecture,Yes,10-15,UOC,Associate,,,No,3,4,4,5,5,4,5,4,4,4,3,4,4,3,2,2,4,4,4,4,4,4,4,4,4,4,3,2,2,2,4,3,4,3,4,4,,4,4,4,4,1,2
55-60,Male,Sciences,Yes,35-40,UOC,Professor,,,No,4,4,4,4,4,3,4,3,4,4,3,3,5,4,3,3,3,3,3,5,5,5,4,3,4,4,4,4,2,4,4,2,4,4,4,3,3,5,4,4,4,1,2
35-40,Male,Engineering&Architecture,Yes,05-10,UOC,Associate,,,No,3,3,4,5,4,3,4,4,2,1,1,3,3,4,4,2,3,5,3,5,5,5,1,1,2,2,3,1,2,2,5,2,3,3,4,2,1,4,2,2,3,1,2
30-35,Male,Engineering&Architecture,Yes,05-10,UOC,Associate,,,No,3,3,3,5,5,4,2,4,2,4,2,3,2,2,4,1,3,4,3,4,4,4,1,1,3,3,4,1,2,1,4,1,2,2,4,2,4,2,2,2,2,1,5
40-45,Male,Social Science,Yes,15-20,UOC,Assistant,,,No,3,3,2,4,4,2,3,4,2,3,3,4,2,4,3,2,2,4,3,4,4,4,2,2,2,2,3,3,4,3,4,4,2,2,4,4,3,2,2,2,2,1,4
40-45,Male,Law&Politics,No,15-20,UOC,Lecturer,,,No,2,3,3,4,4,2,4,4,3,3,2,2,3,2,2,1,2,2,2,4,4,4,2,2,2,2,3,2,2,3,4,3,2,2,3,3,3,3,2,3,3,1,1
40-45,Male,HealthSciences,No,00-05,UOC,Lecturer,,,No,2,2,2,3,2,3,4,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,1,1,2,2,2,2,3,1,4,4,2,2,3,3,3,3,2,2,2,1,2
30-35,Male,Engineering&Architecture,Yes,05-10,UOC,Associate,,,No,3,4,4,5,4,4,5,5,4,4,4,3,5,4,4,1,3,5,4,5,5,5,2,1,2,2,5,2,1,4,3,3,3,3,4,4,3,4,4,5,5,1,4
30-35,Male,Engineering&Architecture,No,05-10,UOC,Lecturer,,,No,4,3,3,5,4,3,5,5,3,4,2,5,4,3,4,1,3,5,2,5,4,4,1,1,1,1,2,1,1,1,4,1,2,2,2,5,1,5,1,2,4,1,1
50-55,Male,Arts&Humanities,Yes,10-15,UOC,Assistant,,,Yes,2,2,4,5,4,2,3,4,4,4,2,4,1,2,4,1,2,4,3,4,4,2,1,1,4,3,4,1,1,1,4,3,2,4,4,5,3,3,4,5,5,2,3
30-35,Male,Social Science,Yes,10-15,UOC,Assistant,,,No,4,5,4,5,5,4,5,5,4,4,3,2,4,4,3,2,3,4,4,5,4,5,3,4,4,5,4,1,2,2,4,4,5,4,5,4,4,5,5,5,5,1,2
35-40,Male,Social Science,Yes,10-15,UOC,Assistant,,,No,2,3,3,4,4,3,3,3,2,3,2,4,3,3,3,1,2,4,2,5,5,5,2,1,2,2,3,1,1,3,4,4,3,3,3,5,2,3,2,2,2,1,1
30-35,Male,Engineering&Architecture,Yes,05-10,UOC,Assistant,,,No,2,3,4,3,4,3,4,4,4,4,3,2,3,2,3,2,2,4,2,3,4,4,2,1,2,3,2,2,1,2,3,1,2,3,5,5,5,5,4,4,4,1,3
30-35,Male,Arts&Humanities,No,00-05,UOC,Instructor,,,No,4,4,5,4,4,5,5,4,3,5,3,2,4,3,3,4,4,5,4,5,5,5,3,3,4,4,4,5,1,3,5,5,3,4,5,2,2,4,4,5,3,2,4
50-55,Male,Social Science,Yes,20-25,UOC,Associate,,,Yes,3,3,3,5,4,4,3,4,4,4,3,3,3,4,4,1,2,3,2,4,5,5,2,3,3,3,4,4,3,4,2,2,3,3,4,4,4,4,3,3,4,2,5
60-65,Male,Arts&Humanities,Yes,15-20,UOC,Associate,,,Yes,4,4,5,5,4,4,3,3,5,5,3,3,4,2,3,5,2,2,2,4,4,4,4,5,5,4,4,5,4,4,3,2,4,5,3,5,3,4,5,5,3,4,4
50-55,Male,Arts&Humanities,No,15-20,UOC,Assistant,,,No,3,2,3,4,4,3,4,4,3,2,3,4,4,4,3,3,3,,2,4,4,4,3,2,4,4,4,2,2,2,4,2,4,4,5,5,3,3,4,5,2,1,2
40-45,Male,Social Science,Yes,20-25,UOC,Associate,,,No,4,3,4,4,3,4,5,5,3,4,3,4,3,4,4,2,2,2,2,4,4,4,3,3,4,3,4,4,4,4,3,2,4,4,4,3,3,4,3,4,4,2,2
40-45,Male,Social Science,Yes,20-25,UOC,Associate,,,No,5,4,5,4,3,2,4,4,3,4,3,2,4,2,3,3,2,4,3,4,4,5,2,1,4,4,5,1,1,1,4,3,4,5,3,4,3,3,4,4,4,1,1
40-45,Male,Social Science,Yes,15-20,UOC,Associate,,,No,3,4,4,4,4,3,4,4,4,4,4,2,4,3,3,2,3,4,3,4,4,5,1,1,1,1,3,1,1,1,4,3,3,3,4,4,4,3,2,2,4,1,3
40-45,Male,Engineering&Architecture,Yes,,UOC,Assistant,,,No,4,4,4,2,3,1,4,3,4,4,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,4,4,3,3,3,5,4,4,4,1,4
50-55,Male,Arts&Humanities,Yes,20-25,UOC,Associate,,,Yes,5,5,5,5,5,4,5,5,4,4,4,2,5,5,3,4,2,2,4,5,4,4,3,4,4,4,4,3,1,4,2,2,5,5,5,4,3,4,4,5,4,2,4
45-50,Male,Arts&Humanities,Yes,15-20,UOC,Associate,,,No,5,5,5,4,4,4,4,4,4,4,3,2,3,4,3,1,4,3,4,5,5,5,1,4,4,4,4,5,5,3,5,5,5,5,5,5,1,1,5,5,5,1,4
45-50,Male,Social Science,Yes,15-20,UOC,Associate,,,No,5,4,4,4,4,4,4,4,4,4,3,2,3,3,4,2,3,3,4,4,4,4,2,1,2,2,4,2,3,3,4,2,3,4,4,5,4,3,3,4,4,1,2
50-55,Male,Arts&Humanities,Yes,10-15,UOC,Associate,,,No,3,2,2,2,2,,3,2,5,4,2,3,4,,,2,2,3,,4,5,5,3,3,4,,4,4,1,2,4,2,4,4,5,5,5,4,4,5,5,1,1
45-50,Male,Law&Politics,Yes,10-15,UOC,Associate,,,Yes,,,,5,4,3,4,4,3,3,2,5,3,,,1,2,5,,5,5,4,1,1,1,2,3,3,4,4,,,,,4,4,4,,2,,4,2,1
40-45,Male,HealthSciences,Yes,10-15,UOC,Assistant,,,No,2,3,4,3,4,3,4,4,3,3,3,3,4,3,4,2,2,4,3,4,5,5,2,1,2,2,3,1,4,3,5,5,1,2,1,1,2,1,3,4,4,1,2
40-45,Male,Engineering&Architecture,Yes,15-20,UOC,Associate,,,No,2,4,4,4,4,,3,,4,4,4,2,,,,3,,,,4,,,3,,3,,4,1,1,1,,,2,,1,1,1,1,4,4,4,1,4
50-55,Female,Arts&Humanities,Yes,05-10,UOC,Associate,,,No,2,2,2,4,4,3,3,3,2,4,2,3,2,2,3,1,1,1,1,3,3,3,1,1,2,2,3,3,3,2,5,5,3,2,5,5,5,5,2,4,4,1,3
35-40,Female,Social Science,Yes,15-20,UOC,Associate,,,No,2,4,3,4,4,,4,4,3,3,4,4,3,,,1,2,,,4,4,4,2,1,,,4,1,3,2,5,2,,3,4,3,,4,3,2,2,1,1
40-45,Female,Social Science,No,15-20,UOC,Assistant,,,No,2,3,3,4,3,3,3,4,3,3,3,4,2,3,3,1,2,4,3,4,4,4,2,2,2,2,3,1,2,3,4,4,3,3,4,4,4,4,3,3,4,2,2
45-50,Female,Engineering&Architecture,Yes,15-20,UOC,Assistant,,,No,4,1,4,5,4,4,1,4,2,2,1,2,1,,3,1,1,3,,5,2,3,1,1,1,1,2,2,2,3,2,2,2,2,4,4,4,,3,4,3,1,2
45-50,Female,Social Science,No,20-25,UOC,Assistant,,,No,3,3,3,5,4,5,4,4,4,4,4,3,3,3,5,1,2,3,2,4,5,4,1,1,1,1,3,1,1,1,3,3,2,2,4,3,3,1,1,1,4,1,1
35-40,Female,Social Science,Yes,15-20,UOC,Assistant,,,No,2,3,2,4,4,2,3,2,4,3,3,4,3,3,2,1,2,2,1,4,4,5,1,1,1,1,3,4,4,3,3,2,2,3,2,5,4,4,2,3,3,1,1
35-40,Female,Arts&Humanities,Yes,10-15,UOC,Assistant,,,No,3,4,3,5,,2,4,4,4,4,3,3,3,3,2,2,2,3,3,4,4,4,3,2,3,3,3,3,2,1,3,2,3,3,5,5,5,5,4,4,2,2,3
40-45,Female,Social Science,No,10-15,UOC,Associate,,,No,3,2,2,4,4,3,4,4,3,3,4,2,3,3,3,1,2,4,3,5,5,5,1,1,1,1,3,1,2,2,5,3,3,3,3,5,3,5,2,3,5,1,4
40-45,Female,Social Science,No,00-05,UOC,Lecturer,,,No,2,2,2,5,3,5,5,5,2,3,2,2,2,2,5,1,2,4,1,5,5,4,1,1,1,1,2,2,3,3,5,5,3,3,4,4,4,4,2,2,2,1,5
45-50,Female,Engineering&Architecture,Yes,15-20,UOC,Assistant,,,No,3,3,3,4,4,3,4,3,3,4,3,3,3,2,3,2,2,4,3,4,3,4,3,2,3,2,3,2,2,3,4,2,4,4,4,4,4,4,4,3,4,2,3
40-45,Female,Social Science,Yes,10-15,UOC,Assistant,,,No,3,3,3,4,4,4,4,4,3,3,3,2,4,4,3,2,2,3,2,5,5,5,2,2,3,3,4,3,3,3,4,3,4,4,4,4,3,3,4,5,5,2,4
45-50,Female,Arts&Humanities,Yes,15-20,UOC,Associate,,,No,3,3,3,5,5,2,4,3,3,3,3,4,2,2,4,2,3,3,3,5,4,4,3,3,4,1,3,1,1,1,3,2,2,4,4,1,1,5,4,5,4,1,3
35-40,Female,Social Science,Yes,10-15,UOC,Associate,,,No,2,1,3,5,5,4,3,3,4,4,4,3,4,3,3,2,3,4,4,4,4,4,3,2,4,4,4,3,2,3,4,4,4,4,3,3,3,3,4,5,5,2,2
35-40,Female,Social Science,Yes,10-15,UOC,Associate,,,Yes,4,3,3,5,5,4,4,4,4,4,4,5,3,2,4,1,2,2,4,5,5,5,2,2,3,3,4,2,4,2,4,1,3,3,2,4,2,1,3,3,4,2,5
50-55,Female,Engineering&Architecture,Yes,20-25,UOC,Associate,,,No,2,2,2,5,4,5,3,,3,3,3,5,3,1,1,2,3,5,5,5,5,5,1,1,1,1,5,1,3,1,5,1,3,3,3,3,3,3,2,4,5,1,2
40-45,Female,Engineering&Architecture,Yes,15-20,UOC,Assistant,,,Yes,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,4
45-50,Female,Social Science,Yes,25-30,UOC,Associate,,,No,3,3,3,4,5,3,3,3,4,4,2,2,3,3,3,2,2,2,4,4,4,4,3,2,3,3,2,2,2,2,4,3,3,3,4,4,4,4,4,4,4,2,2
35-40,Female,Social Science,Yes,10-15,UOC,Assistant,,,No,2,3,3,5,3,,3,4,3,3,1,,3,1,,1,1,4,4,3,3,5,1,1,1,2,1,1,2,1,4,3,1,1,,,3,1,3,3,3,1,2
45-50,Female,HealthSciences,Yes,20-25,UOC,Associate,,,No,4,3,3,3,5,3,3,2,4,4,2,3,5,4,3,1,2,4,4,2,2,2,1,3,1,1,4,1,1,1,5,4,3,2,4,5,4,4,1,4,4,1,4
40-45,Female,Social Science,Yes,15-20,UOC,Associate,,,No,4,4,4,2,5,3,3,4,3,4,3,3,5,5,5,3,3,3,5,5,4,5,4,4,5,4,5,2,5,4,4,4,5,5,5,5,5,5,4,4,4,2,5
35-40,Female,Social Science,No,05-10,UOC,Assistant,,,No,3,3,4,5,5,,5,5,4,5,4,3,4,,,1,,5,,5,5,5,2,1,1,1,3,1,1,1,5,5,3,3,5,4,5,5,4,4,5,1,1
