AGE,GENDER,DOMAIN,PhD,YEARSEXP,UNIVERSITY,UOC_POSITION,OTHER_POSITION,OTHERSTATUS,USERWIKI,PU1.DEV_STUD_SKILL,PU2.IMPRV_STUD_LEARN,PU3.USEFUL_FOR_TEACH,PEU1.USER_FRIENDLY,PEU2.EZ_FIND_INFO,PEU3.EZ_EDIT_INFO,ENJ1.STIMULATE_CERIOSITY,ENJ2.ENTERTAINING,Qu1.CONTENT_RELIABLE,Qu2.CONTENT_UPDATED,Qu3.CONTENT_COMPRESV,Qu4.CONTENT_LOWER_QUALITY,Qu5.CONTENT_EDIT_TRUST,Vis1.VIZ_IMPROV,Vis2.EZ_RECORD_CONTRIB,Vis3.USED_CITE_PAPER,Im1.POPULAR_COLLEAGUES,Im2.APPREC_EDU_SHARE,Im3.COLLEAGUES_USING,SA1.IMPT_SHARE_ACADEMIC,SA2.IMPT_SHARE_RESEARCH,SA3.IMPT_STUD_ONLINE_COL,Use1.USED_TO_TEACH_MTRIAL,Use2.USED_TO_DEV_ACTIV,Use3.REC_STUD_USE,Use4.REC_COLL_USE,Use5.AGGREE_STUD_USE,Pf1.CONTRIB_BLOG,Pf2.CONTRIB_SOCIAL_NET,Pf3.PUBLISH_ACAD_OPEN_PLAT,JR1.UNIV_PROMOTE_OPEN_COLLAB,JR2.UNIV_CONSIDER_OPEN_COLLAB,BI1.FUTURE_REC_USE_COLL_STUD,BI2.FUTURE_USE_TEACH,Inc1.HELPFUL_BEST_PRAC,Inc2.HELPFUL_GET_INST_COLL,Inc3.HELPFUL_GET_TRAIN,Inc4.HELPFUL_INSTITUTION_RECGN,Exp1.CONSULT_EXPERTISE,Exp2.CONSULT_ACAD_ISSUES,Exp3.CONSULT_PERSONAL_ISSUES,Exp4.CONTRIB_WIKI,Exp5.USING_WORK_WITH_STUD
40,Male,Sciences,Yes,14,UOC,Associate,,,No,5,5,3,5,5,3,5,5,3,3,1,1,3,3,3,1,1,5,1,5,5,5,3,1,1,1,5,1,1,3,5,1,1,3,5,5,5,5,5,5,5,1,1
42,Male,Law&Politics,Yes,18,UOC,Associate,,,No,1,3,3,5,5,3,3,5,5,5,3,3,1,3,3,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,5,3,1,1,5,5,3,5,1,1,5,1,5
37,Male,Engineering&Architecture,Yes,13,UOC,Assistant,,,No,1,1,1,5,5,3,3,3,1,1,1,5,3,1,3,1,1,5,3,5,1,5,1,1,1,1,1,3,3,3,5,3,1,1,5,3,5,5,1,1,1,1,3
40,Male,Engineering&Architecture,No,13,UOC,Assistant,,,No,3,3,5,3,3,3,5,3,3,5,3,3,3,3,5,3,1,1,3,5,5,5,3,3,3,3,3,5,5,5,5,5,3,3,3,5,5,3,5,5,3,3,5
51,Male,Others,No,8,UOC,Assistant,,,Yes,5,3,5,5,5,3,5,5,5,5,5,3,5,5,5,5,3,1,3,5,5,5,3,3,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5
47,Male,Engineering&Architecture,No,17,UOC,Assistant,,,No,1,1,3,5,5,3,3,3,3,3,3,5,5,3,5,5,3,5,3,5,5,5,1,1,3,1,5,5,3,1,5,1,5,5,5,3,1,5,5,3,5,1,5
43,Male,Engineering&Architecture,No,11,UOC,Assistant,,,No,5,5,5,5,,5,5,5,5,5,5,1,5,5,5,5,3,5,3,5,5,5,3,5,5,3,5,5,3,3,5,5,3,5,5,5,5,1,5,5,5,1,1
55,Male,Others,No,12,UOC,Assistant,,,No,5,5,5,5,3,5,5,3,3,3,3,3,5,3,3,5,5,5,5,5,5,5,1,1,3,3,5,5,3,5,5,5,3,5,3,3,3,3,5,5,3,1,5
54,Male,Arts&Humanities,Yes,14,UOC,Associate,,,No,5,5,5,5,5,5,5,5,5,5,1,5,3,5,3,5,3,3,3,5,5,5,1,1,5,5,5,1,1,3,3,1,5,3,5,5,5,1,5,5,5,1,1
50,Male,Engineering&Architecture,Yes,25,UOC,Associate,,,No,5,5,5,5,5,,5,5,5,5,5,1,3,3,,3,3,5,3,5,5,5,5,1,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,1,1,1
40,Male,Engineering&Architecture,Yes,13,UOC,Associate,,,Yes,3,3,5,5,5,5,5,5,3,5,3,3,1,3,5,1,1,5,3,5,5,5,1,3,5,3,5,1,1,5,5,3,3,5,3,3,1,5,5,5,5,1,1
48,Male,Others,No,25,UOC,Assistant,,,No,5,5,3,5,5,3,5,5,3,5,5,1,3,5,3,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,1,1
38,Male,Others,Yes,15,UOC,Associate,,,No,5,5,5,5,5,3,5,5,5,5,1,1,5,3,5,5,3,5,3,5,1,5,5,5,5,5,5,3,5,5,5,1,5,5,5,5,5,5,5,5,5,1,3
56,Male,Others,Yes,13,UOC,Assistant,,,Yes,1,1,1,1,1,3,1,1,1,1,,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
44,Male,Engineering&Architecture,Yes,15,UOC,Associate,,,Yes,5,5,5,3,5,5,5,5,5,5,5,1,5,5,3,5,3,3,3,5,5,5,3,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5
39,Male,Others,Yes,12,UOC,Associate,,,No,3,3,3,5,5,,3,5,3,5,1,5,3,1,3,1,5,5,5,5,5,5,1,1,1,1,3,1,3,3,5,3,1,1,5,5,1,1,1,1,1,1,1
40,Male,Engineering&Architecture,Yes,18,UOC,Associate,,,Yes,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,3,5,5,5,5,5,1,1,5,5,5,5,5,5,5,3,5,5,5,3,3,5,5,5,5,1,5
51,Male,Others,Yes,20,UOC,Associate,,,No,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,1,3,3,1,5,5,5,1,1,1,1,5,5,5,3,5,3,3,3,5,5,5,5,5,5,5,1,5
39,Male,Engineering&Architecture,No,12,UOC,Lecturer,,,Yes,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,3,3,5,3,5,5,5,3,1,5,5,5,5,5,5,3,1,5,5,5,5,5,5,5,5,5,3,3
33,Male,Others,Yes,5,UOC,Associate,,,No,1,1,5,5,5,3,5,5,5,5,5,5,5,3,3,1,1,1,1,5,5,3,1,1,1,1,5,3,3,3,3,3,3,3,1,5,1,3,1,5,5,1,1
36,Male,Others,Yes,10,UOC,Assistant,,,No,5,1,5,5,5,,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,1,5,5,5,1,5
45,Male,Others,Yes,15,UOC,Associate,,,No,1,1,3,5,5,3,3,5,5,5,3,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,5,1,1,1,5,3,1,1,3,5,3,1,3,3,1,1,1
38,Male,Arts&Humanities,No,10,UOC,Lecturer,,,No,3,1,3,5,5,3,5,5,5,3,1,5,5,5,3,1,1,1,3,5,5,5,1,1,1,1,5,1,1,1,5,5,3,3,5,5,5,3,3,5,5,1,3
38,Male,HealthSciences,Yes,15,UOC,Associate,,,Yes,5,5,5,5,5,5,5,5,5,5,3,3,3,5,3,3,1,3,3,5,3,5,5,5,5,3,5,1,3,5,5,5,5,5,5,5,5,5,1,5,5,5,1
38,Male,Law&Politics,Yes,14,UOC,Associate,,,Yes,3,1,3,5,5,5,5,5,3,5,3,5,3,1,1,1,1,1,1,5,1,5,1,1,1,3,3,3,1,1,5,5,3,3,5,5,3,1,3,5,5,1,1
40,Male,Others,No,9,UOC,Lecturer,,,No,5,5,5,5,5,3,5,5,3,3,3,3,5,5,5,3,5,5,5,5,5,5,3,5,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5
33,Male,Law&Politics,Yes,6,UOC,Associate,,,No,1,3,1,5,5,,5,5,5,5,3,5,3,,,1,1,3,1,3,5,5,1,1,1,1,1,1,3,3,5,3,3,3,5,3,5,3,1,3,5,1,1
38,Male,Arts&Humanities,Yes,5,UOC,Assistant,,,No,3,3,5,5,5,3,5,3,3,3,3,3,3,5,3,1,5,5,3,5,5,5,1,1,3,1,5,1,1,1,5,1,3,5,5,5,5,5,3,3,5,1,1
35,Male,Others,No,10,UOC,Assistant,,,No,5,3,5,5,3,5,3,3,3,3,5,5,3,5,5,5,5,5,3,5,5,3,3,5,3,5,3,5,5,5,5,3,3,3,5,5,3,5,3,3,5,3,3
39,Male,Engineering&Architecture,Yes,10,UOC,Assistant,,,No,1,3,3,5,5,5,5,5,1,5,1,3,3,1,1,1,1,1,1,1,3,3,1,1,1,1,1,3,3,5,1,1,3,1,5,5,5,5,5,5,5,1,5
37,Male,Others,Yes,15,UOC,Associate,,,No,3,3,3,5,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,3,3,1,1,3,3,3,3,1,1,3,1,3
43,Male,Arts&Humanities,Yes,12,UOC,Associate,,,Yes,5,5,5,5,5,3,5,5,5,5,5,1,5,5,5,5,1,1,3,5,5,5,5,5,5,5,5,3,1,5,5,1,5,5,3,3,5,5,5,5,5,1,1
41,Male,Others,Yes,10,UOC,Assistant,,,No,5,5,5,3,3,3,3,3,5,5,3,3,5,3,5,5,3,5,1,5,5,5,1,1,3,5,5,5,5,5,5,1,5,5,5,3,3,3,5,5,5,1,5
38,Male,Engineering&Architecture,Yes,14,UOC,Associate,,,Yes,5,5,5,5,5,3,5,5,5,5,3,3,5,5,3,5,3,5,3,5,5,5,3,3,5,5,5,5,3,3,5,3,5,5,5,5,3,3,5,5,5,3,5
51,Male,Others,No,,UOC,Assistant,,,No,5,5,5,5,5,5,5,5,3,5,3,1,3,1,3,3,1,3,5,5,5,5,1,1,5,5,5,1,3,5,5,5,5,5,5,5,3,3,3,3,3,1,5
49,Male,Others,Yes,10,UOC,Associate,,,No,3,3,5,5,5,5,5,5,5,3,5,,5,5,5,1,5,3,5,5,5,5,1,1,3,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,1
43,Male,Others,No,9,UOC,Lecturer,,,No,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,3,1,5,1,1,1,1,1,1,1,1,3,3,1,1,3,3,1,1,1,1,1,1,1
38,Male,Arts&Humanities,Yes,12,UOC,Associate,,,No,3,1,3,5,5,3,5,5,3,5,3,5,1,3,3,1,3,3,3,5,5,3,1,1,3,3,3,5,3,3,5,5,3,3,5,5,5,1,1,3,5,1,3
43,Male,Others,Yes,14,UOC,Associate,,,No,3,5,5,5,3,3,5,3,3,5,3,5,3,3,3,1,1,3,3,5,5,5,1,1,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,1,1
35,Male,Others,Yes,8,UOC,Instructor,,,#N/A,1,1,1,5,5,,5,5,3,5,5,3,1,1,,1,1,1,,5,3,5,1,1,1,,1,5,1,,5,5,1,1,5,5,5,,5,5,5,1,5
37,Male,Arts&Humanities,Yes,9,UOC,Associate,,,No,3,1,3,5,3,3,5,3,1,1,1,5,1,3,3,1,1,3,3,3,5,3,1,1,1,1,1,3,1,3,3,3,1,1,3,3,3,3,1,1,5,1,1
46,Male,Others,Yes,18,UOC,Assistant,,,No,3,3,3,5,5,3,5,5,3,5,1,5,1,3,3,1,1,5,1,5,5,5,1,3,1,1,5,1,3,1,5,5,3,1,5,3,5,5,1,1,5,1,3
36,Male,Law&Politics,Yes,14,UOC,Associate,,,No,3,3,3,5,,1,3,5,1,1,1,5,1,1,1,1,1,5,1,5,5,5,1,1,1,1,1,1,1,1,5,5,1,1,5,1,1,5,1,1,1,1,1
39,Male,Arts&Humanities,Yes,10,UOC,Associate,,,No,3,3,5,5,5,,5,3,5,5,5,1,5,,,3,1,1,3,5,5,5,5,5,5,5,5,1,1,1,5,1,5,5,5,1,1,5,5,5,1,1,
35,Male,Engineering&Architecture,Yes,7,UOC,Associate,,,No,5,5,5,3,5,3,5,5,1,3,3,3,3,1,3,1,3,5,1,5,1,5,1,3,3,3,3,5,5,5,5,1,3,3,5,3,3,3,5,3,5,3,3
33,Male,Others,Yes,7,UOC,Associate,,,No,3,3,3,5,5,3,3,5,5,5,3,3,5,3,3,1,3,3,3,5,5,5,1,1,1,1,3,1,3,1,5,3,3,3,5,3,3,3,1,1,3,1,3
33,Male,Others,No,5,UOC,Lecturer,,,No,5,5,5,5,5,3,5,3,5,5,5,5,,3,3,1,3,5,3,5,5,5,1,1,1,1,3,1,1,3,5,3,3,3,1,1,1,1,1,1,5,1,1
34,Male,Engineering&Architecture,Yes,11,UOC,Associate,,,No,3,5,5,5,5,5,5,5,5,5,3,5,5,3,1,1,5,5,5,5,5,5,5,5,5,5,3,1,1,1,5,3,5,3,5,5,,5,5,5,5,1,1
